TransactionID,Date,CustomerID,CustomerName,ProductID,ProductName,ProductCategory,Quantity,UnitPrice,DiscountPercent,CostPerUnit,Revenue,Cost,Profit,InvoiceDate,PaymentDate,TermsDays,Status
10001,2025-01-01,CUST005,Omega Distributors,PROD003,Low-Margin Bulk Connector,Hardware,8,10.0,0.0599,9.5,75.21,76.0,-0.79,2025-01-01,2025-02-01,30,Paid
10002,2025-01-01,CUST002,Beta Retailers,PROD003,Low-Margin Bulk Connector,Hardware,11,10.0,0.0866,9.5,100.47,104.5,-4.03,2025-01-01,2025-01-14,15,Paid
10003,2025-01-01,CUST001,Acme Industrial Corp,PROD003,Low-Margin Bulk Connector,Hardware,30,10.0,0.097,9.5,270.9,285.0,-14.1,2025-01-01,2025-02-06,30,Paid
10004,2025-01-02,CUST001,Acme Industrial Corp,PROD004,Enterprise Service License,Software,10,500.0,0.0304,150.0,4847.88,1500.0,3347.88,2025-01-02,2025-02-01,30,Paid
10005,2025-01-02,CUST001,Acme Industrial Corp,PROD001,High-Performance Widget,Hardware,36,150.0,0.0612,90.0,5069.6,3240.0,1829.6,2025-01-02,2025-02-05,30,Paid
10006,2025-01-02,CUST001,Acme Industrial Corp,PROD004,Enterprise Service License,Software,39,500.0,0.0785,150.0,17968.91,5850.0,12118.91,2025-01-02,2025-01-29,30,Paid
10007,2025-01-02,CUST002,Beta Retailers,PROD004,Enterprise Service License,Software,9,500.0,0.0046,150.0,4479.1,1350.0,3129.1,2025-01-02,2025-01-14,15,Paid
10008,2025-01-02,CUST003,Apex Tech Solutions,PROD001,High-Performance Widget,Hardware,7,150.0,0.0013,90.0,1048.61,630.0,418.61,2025-01-02,2025-03-12,30,Paid
10009,2025-01-03,CUST003,Apex Tech Solutions,PROD002,Standard Gear Assembly,Hardware,9,80.0,0.0016,45.0,718.85,405.0,313.85,2025-01-03,2025-02-18,30,Paid
10010,2025-01-03,CUST003,Apex Tech Solutions,PROD004,Enterprise Service License,Software,7,500.0,0.061,150.0,3286.5,1050.0,2236.5,2025-01-03,2025-02-24,30,Paid
10011,2025-01-03,CUST001,Acme Industrial Corp,PROD001,High-Performance Widget,Hardware,27,150.0,0.0663,90.0,3781.68,2430.0,1351.68,2025-01-03,2025-01-29,30,Paid
10012,2025-01-04,CUST003,Apex Tech Solutions,PROD002,Standard Gear Assembly,Hardware,4,80.0,0.0185,45.0,314.08,180.0,134.08,2025-01-04,2025-03-07,30,Paid
10013,2025-01-04,CUST004,Zeta Enterprises,PROD002,Standard Gear Assembly,Hardware,10,80.0,0.0895,45.0,728.41,450.0,278.41,2025-01-04,2025-02-26,45,Paid
10014,2025-01-04,CUST004,Zeta Enterprises,PROD004,Enterprise Service License,Software,9,500.0,0.0961,150.0,4067.47,1350.0,2717.47,2025-01-04,2025-02-17,45,Paid
10015,2025-01-04,CUST002,Beta Retailers,PROD002,Standard Gear Assembly,Hardware,5,80.0,0.0587,45.0,376.53,225.0,151.53,2025-01-04,2025-01-22,15,Paid
10016,2025-01-04,CUST001,Acme Industrial Corp,PROD004,Enterprise Service License,Software,18,500.0,0.0296,150.0,8733.35,2700.0,6033.35,2025-01-04,2025-02-10,30,Paid
10017,2025-01-09,CUST001,Acme Industrial Corp,PROD003,Low-Margin Bulk Connector,Hardware,26,10.0,0.0711,9.5,241.51,247.0,-5.49,2025-01-09,2025-02-05,30,Paid
10018,2025-01-09,CUST004,Zeta Enterprises,PROD005,Premium Consulting Hour,Services,10,200.0,0.0358,120.0,1928.31,1200.0,728.31,2025-01-09,2025-02-26,45,Paid
10019,2025-01-09,CUST005,Omega Distributors,PROD001,High-Performance Widget,Hardware,8,150.0,0.0449,90.0,1146.07,720.0,426.07,2025-01-09,2025-02-03,30,Paid
10020,2025-01-10,CUST001,Acme Industrial Corp,PROD003,Low-Margin Bulk Connector,Hardware,17,10.0,0.0275,9.5,165.33,161.5,3.83,2025-01-10,2025-02-06,30,Paid
10021,2025-01-10,CUST002,Beta Retailers,PROD005,Premium Consulting Hour,Services,14,200.0,0.0849,120.0,2562.3,1680.0,882.3,2025-01-10,2025-01-24,15,Paid
10022,2025-01-10,CUST003,Apex Tech Solutions,PROD003,Low-Margin Bulk Connector,Hardware,9,10.0,0.0711,9.5,83.6,85.5,-1.9,2025-01-10,2025-03-21,30,Paid
10023,2025-01-10,CUST001,Acme Industrial Corp,PROD005,Premium Consulting Hour,Services,16,200.0,0.0475,120.0,3047.88,1920.0,1127.88,2025-01-10,2025-02-16,30,Paid
