transaction_date,transaction_id,customer_id,product_name,quantity,revenue,cost,discount_percent,days_to_pay
2025-04-25,TXN-100001,CUST-070,Product A,145,32053.02,23925,0,7
2026-03-09,TXN-100002,CUST-078,Product A,20,1859.49,1740,20,5
2025-07-23,TXN-100003,CUST-036,Product L,284,72354.64,72136,25,30
2025-01-07,TXN-100004,CUST-020,Product M,86,46375.08,34142,10,11
2025-12-11,TXN-100005,CUST-078,Product B,52,13194.3,12168,12,13
2025-02-14,TXN-100006,CUST-011,Product L,240,80460.88,75360,15,22
2025-10-28,TXN-100007,CUST-006,Product N,190,83600.79,63650,0,56
2025-08-22,TXN-100008,CUST-049,Product M,153,22974.73,12240,0,13
2026-04-10,TXN-100009,CUST-035,Product K,191,32688.66,23493,5,27
2025-03-15,TXN-100010,CUST-060,Product J,92,50961.94,28796,0,17
2025-10-04,TXN-100011,CUST-030,Product O,290,76343.13,44080,0,6
2025-11-20,TXN-100012,CUST-041,Product G,142,10334.92,10366,25,11
2026-05-27,TXN-100013,CUST-072,Product G,239,35281.69,27007,5,22
2025-09-27,TXN-100014,CUST-029,Product L,224,161905.59,111776,12,9
2026-06-06,TXN-100015,CUST-020,Product H,51,25855,21726,0,25
2025-06-13,TXN-100016,CUST-077,Product M,221,78029.04,76245,15,19
2025-09-15,TXN-100017,CUST-035,Product I,10,5471.15,3880,20,29
2025-12-15,TXN-100018,CUST-034,Product B,155,52160.87,40610,0,21
2025-07-02,TXN-100019,CUST-078,Product I,59,38493.02,28615,20,11
2025-06-06,TXN-100020,CUST-001,Product F,87,43117.9,27492,20,54
2025-11-28,TXN-100021,CUST-031,Product H,14,2370.74,1358,10,6
2025-09-04,TXN-100022,CUST-009,Product O,295,23663.73,23600,18,59
2025-05-09,TXN-100023,CUST-078,Product C,248,82178.25,79608,20,18
2025-08-05,TXN-100024,CUST-040,Product O,281,201335.84,119706,5,17
2026-01-18,TXN-100025,CUST-009,Product H,269,86765.18,72899,5,45
2025-01-22,TXN-100026,CUST-010,Product J,288,74614.27,45216,0,57
2025-03-02,TXN-100027,CUST-066,Product D,39,4107.43,2184,0,12
